CodeC,country,Country Code,year,time_period,obs_value,sex,Region,Sub-region
ALB2000Tot,Albania,ALB,2000,01/01/2000,83,Total,Europe,Southern Europe
ARM2000Fem,Armenia,ARM,2000,01/01/2000,29,Female,Asia,Western Asia
ARM2000Mal,Armenia,ARM,2000,01/01/2000,24,Male,Asia,Western Asia
ARM2000Tot,Armenia,ARM,2000,01/01/2000,26,Total,Asia,Western Asia
AZE2000Fem,Azerbaijan,AZE,2000,01/01/2000,42,Female,Asia,Western Asia
AZE2000Mal,Azerbaijan,AZE,2000,01/01/2000,30,Male,Asia,Western Asia
AZE2000Tot,Azerbaijan,AZE,2000,01/01/2000,36,Total,Asia,Western Asia
BGD2000Fem,Bangladesh,BGD,2000,01/01/2000,25,Female,Asia,Southern Asia
BGD2000Mal,Bangladesh,BGD,2000,01/01/2000,29,Male,Asia,Southern Asia
BGD2000Tot,Bangladesh,BGD,2000,01/01/2000,27,Total,Asia,Southern Asia
BOL2000Fem,"Bolivia, Plurinational State of",BOL,2000,01/01/2000,53,Female,Americas,Latin America and the Caribbean
BOL2000Mal,"Bolivia, Plurinational State of",BOL,2000,01/01/2000,54,Male,Americas,Latin America and the Caribbean
BOL2000Tot,"Bolivia, Plurinational State of",BOL,2000,01/01/2000,44,Total,Americas,Latin America and the Caribbean
BIH2000Tot,Bosnia and Herzegovina,BIH,2000,01/01/2000,80,Total,Europe,Southern Europe
BWA2000Fem,Botswana,BWA,2000,01/01/2000,13,Female,Africa,Sub-Saharan Africa
BWA2000Mal,Botswana,BWA,2000,01/01/2000,16,Male,Africa,Sub-Saharan Africa
BWA2000Tot,Botswana,BWA,2000,01/01/2000,14,Total,Africa,Sub-Saharan Africa
BDI2000Fem,Burundi,BDI,2000,01/01/2000,39,Female,Africa,Sub-Saharan Africa
BDI2000Mal,Burundi,BDI,2000,01/01/2000,40,Male,Africa,Sub-Saharan Africa
BDI2000Tot,Burundi,BDI,2000,01/01/2000,40,Total,Africa,Sub-Saharan Africa
KHM2000Fem,Cambodia,KHM,2000,01/01/2000,33,Female,Asia,South-eastern Asia
KHM2000Mal,Cambodia,KHM,2000,01/01/2000,40,Male,Asia,South-eastern Asia
KHM2000Tot,Cambodia,KHM,2000,01/01/2000,37,Total,Asia,South-eastern Asia
CMR2000Fem,Cameroon,CMR,2000,01/01/2000,22,Female,Africa,Sub-Saharan Africa
CMR2000Mal,Cameroon,CMR,2000,01/01/2000,27,Male,Africa,Sub-Saharan Africa
CMR2000Tot,Cameroon,CMR,2000,01/01/2000,25,Total,Africa,Sub-Saharan Africa
CAF2000Fem,Central African Republic,CAF,2000,01/01/2000,32,Female,Africa,Sub-Saharan Africa
CAF2000Mal,Central African Republic,CAF,2000,01/01/2000,32,Male,Africa,Sub-Saharan Africa
CAF2000Tot,Central African Republic,CAF,2000,01/01/2000,32,Total,Africa,Sub-Saharan Africa
TCD2000Fem,Chad,TCD,2000,01/01/2000,21,Female,Africa,Sub-Saharan Africa
TCD2000Mal,Chad,TCD,2000,01/01/2000,22,Male,Africa,Sub-Saharan Africa
TCD2000Tot,Chad,TCD,2000,01/01/2000,22,Total,Africa,Sub-Saharan Africa
COL2000Tot,Colombia,COL,2000,01/01/2000,51,Total,Americas,Latin America and the Caribbean
COM2000Fem,Comoros,COM,2000,01/01/2000,57,Female,Africa,Sub-Saharan Africa
COM2000Mal,Comoros,COM,2000,01/01/2000,56,Male,Africa,Sub-Saharan Africa
COM2000Tot,Comoros,COM,2000,01/01/2000,56,Total,Africa,Sub-Saharan Africa
CIV2000Fem,Ivory Coast,CIV,2000,01/01/2000,38,Female,Africa,Sub-Saharan Africa
CIV2000Mal,Ivory Coast,CIV,2000,01/01/2000,37,Male,Africa,Sub-Saharan Africa
CIV2000Tot,Ivory Coast,CIV,2000,01/01/2000,38,Total,Africa,Sub-Saharan Africa
DOM2000Tot,Dominican Republic,DOM,2000,01/01/2000,68,Total,Americas,Latin America and the Caribbean
EGY2000Fem,Egypt,EGY,2000,01/01/2000,64,Female,Africa,Northern Africa
EGY2000Mal,Egypt,EGY,2000,01/01/2000,68,Male,Africa,Northern Africa
EGY2000Tot,Egypt,EGY,2000,01/01/2000,66,Total,Africa,Northern Africa
SWZ2000Fem,Swaziland,SWZ,2000,01/01/2000,62,Female,Africa,Sub-Saharan Africa
SWZ2000Mal,Swaziland,SWZ,2000,01/01/2000,58,Male,Africa,Sub-Saharan Africa
SWZ2000Tot,Swaziland,SWZ,2000,01/01/2000,60,Total,Africa,Sub-Saharan Africa
ETH2000Fem,Ethiopia,ETH,2000,01/01/2000,14,Female,Africa,Sub-Saharan Africa
ETH2000Mal,Ethiopia,ETH,2000,01/01/2000,17,Male,Africa,Sub-Saharan Africa
ETH2000Tot,Ethiopia,ETH,2000,01/01/2000,16,Total,Africa,Sub-Saharan Africa
GMB2000Fem,Gambia,GMB,2000,01/01/2000,79,Female,Africa,Sub-Saharan Africa
GMB2000Mal,Gambia,GMB,2000,01/01/2000,71,Male,Africa,Sub-Saharan Africa
GMB2000Tot,Gambia,GMB,2000,01/01/2000,75,Total,Africa,Sub-Saharan Africa
GNB2000Fem,Guinea-Bissau,GNB,2000,01/01/2000,65,Female,Africa,Sub-Saharan Africa
GNB2000Mal,Guinea-Bissau,GNB,2000,01/01/2000,64,Male,Africa,Sub-Saharan Africa
GNB2000Tot,Guinea-Bissau,GNB,2000,01/01/2000,64,Total,Africa,Sub-Saharan Africa
GUY2000Fem,Guyana,GUY,2000,01/01/2000,85,Female,Americas,Latin America and the Caribbean
GUY2000Mal,Guyana,GUY,2000,01/01/2000,72,Male,Americas,Latin America and the Caribbean
GUY2000Tot,Guyana,GUY,2000,01/01/2000,78,Total,Americas,Latin America and the Caribbean
HTI2000Fem,Haiti,HTI,2000,01/01/2000,27,Female,Americas,Latin America and the Caribbean
HTI2000Mal,Haiti,HTI,2000,01/01/2000,25,Male,Americas,Latin America and the Caribbean
HTI2000Tot,Haiti,HTI,2000,01/01/2000,26,Total,Americas,Latin America and the Caribbean
IRN2000Tot,"Iran, Islamic Republic of",IRN,2000,01/01/2000,93,Total,Asia,Southern Asia
IRQ2000Tot,Iraq,IRQ,2000,01/01/2000,76,Total,Asia,Western Asia
JAM2000Tot,Jamaica,JAM,2000,01/01/2000,39,Total,Americas,Latin America and the Caribbean
LAO2000Fem,Lao People's Democratic Republic,LAO,2000,01/01/2000,37,Female,Asia,South-eastern Asia
LAO2000Mal,Lao People's Democratic Republic,LAO,2000,01/01/2000,36,Male,Asia,South-eastern Asia
LAO2000Tot,Lao People's Democratic Republic,LAO,2000,01/01/2000,36,Total,Asia,South-eastern Asia
LBN2000Fem,Lebanon,LBN,2000,01/01/2000,76.4,Female,Asia,Western Asia
LBN2000Mal,Lebanon,LBN,2000,01/01/2000,71.8,Male,Asia,Western Asia
LBN2000Tot,Lebanon,LBN,2000,01/01/2000,73.6,Total,Asia,Western Asia
LSO2000Fem,Lesotho,LSO,2000,01/01/2000,50,Female,Africa,Sub-Saharan Africa
LSO2000Mal,Lesotho,LSO,2000,01/01/2000,49,Male,Africa,Sub-Saharan Africa
LSO2000Tot,Lesotho,LSO,2000,01/01/2000,49,Total,Africa,Sub-Saharan Africa
MDG2000Fem,Madagascar,MDG,2000,01/01/2000,44,Female,Africa,Sub-Saharan Africa
MDG2000Mal,Madagascar,MDG,2000,01/01/2000,50,Male,Africa,Sub-Saharan Africa
MDG2000Tot,Madagascar,MDG,2000,01/01/2000,47,Total,Africa,Sub-Saharan Africa
MWI2000Fem,Malawi,MWI,2000,01/01/2000,27,Female,Africa,Sub-Saharan Africa
MWI2000Mal,Malawi,MWI,2000,01/01/2000,26,Male,Africa,Sub-Saharan Africa
MWI2000Tot,Malawi,MWI,2000,01/01/2000,27,Total,Africa,Sub-Saharan Africa
MNG2000Fem,Mongolia,MNG,2000,01/01/2000,78,Female,Asia,Eastern Asia
MNG2000Mal,Mongolia,MNG,2000,01/01/2000,78,Male,Asia,Eastern Asia
MNG2000Tot,Mongolia,MNG,2000,01/01/2000,78,Total,Asia,Eastern Asia
MMR2000Fem,Burma,MMR,2000,01/01/2000,46,Female,Asia,South-eastern Asia
MMR2000Mal,Burma,MMR,2000,01/01/2000,50,Male,Asia,South-eastern Asia
MMR2000Tot,Burma,MMR,2000,01/01/2000,48,Total,Asia,South-eastern Asia
NAM2000Fem,Namibia,NAM,2000,01/01/2000,53,Female,Africa,Sub-Saharan Africa
NAM2000Mal,Namibia,NAM,2000,01/01/2000,54,Male,Africa,Sub-Saharan Africa
NAM2000Tot,Namibia,NAM,2000,01/01/2000,53,Total,Africa,Sub-Saharan Africa
